"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ISL","AVWAGE","TOT","USD","A","2007",55961,
"ISL","AVWAGE","TOT","USD","A","2008",49548,
"ISL","AVWAGE","TOT","USD","A","2009",44149,
"ISL","AVWAGE","TOT","USD","A","2010",46183,
"ISL","AVWAGE","TOT","USD","A","2011",48321,
"ISL","AVWAGE","TOT","USD","A","2012",48425,
"ISL","AVWAGE","TOT","USD","A","2013",49726,
"ISL","AVWAGE","TOT","USD","A","2014",49953,
"NZL","AVWAGE","TOT","USD","A","2000",30660,
"NZL","AVWAGE","TOT","USD","A","2001",31218,
"NZL","AVWAGE","TOT","USD","A","2002",31804,
"NZL","AVWAGE","TOT","USD","A","2003",32962,
"NZL","AVWAGE","TOT","USD","A","2004",34126,
"NZL","AVWAGE","TOT","USD","A","2005",34701,
"NZL","AVWAGE","TOT","USD","A","2006",34924,
"NZL","AVWAGE","TOT","USD","A","2007",36988,
"NZL","AVWAGE","TOT","USD","A","2008",36596,
"NZL","AVWAGE","TOT","USD","A","2009",37042,
"NZL","AVWAGE","TOT","USD","A","2010",37554,
"NZL","AVWAGE","TOT","USD","A","2011",37581,
"NZL","AVWAGE","TOT","USD","A","2012",38331,
"CHL","AVWAGE","TOT","USD","A","2008",17664,
"CHL","AVWAGE","TOT","USD","A","2009",19875,
"CHL","AVWAGE","TOT","USD","A","2010",21014,
"CHL","AVWAGE","TOT","USD","A","2011",21308,
"CHL","AVWAGE","TOT","USD","A","2012",22343,
"CHL","AVWAGE","TOT","USD","A","2013",23019,
"CHL","AVWAGE","TOT","USD","A","2014",23247,
"CHL","AVWAGE","TOT","USD","A","2015",23247,
"LVA","AVWAGE","TOT","USD","A","2000",10173,
"LVA","AVWAGE","TOT","USD","A","2001",10521,
"LVA","AVWAGE","TOT","USD","A","2002",10186,
"LVA","AVWAGE","TOT","USD","A","2003",10947,
"LVA","AVWAGE","TOT","USD","A","2004",11864,
"LVA","AVWAGE","TOT","USD","A","2005",13794,
"LVA","AVWAGE","TOT","USD","A","2006",15230,
"LVA","AVWAGE","TOT","USD","A","2007",18789,
"LVA","AVWAGE","TOT","USD","A","2008",19402,
"LVA","AVWAGE","TOT","USD","A","2009",17497,
"LVA","AVWAGE","TOT","USD","A","2010",16811,
"LVA","AVWAGE","TOT","USD","A","2011",16214,
"LVA","AVWAGE","TOT","USD","A","2012",16870,
"LVA","AVWAGE","TOT","USD","A","2013",17690,
"LVA","AVWAGE","TOT","USD","A","2014",19067,
"LVA","AVWAGE","TOT","USD","A","2015",20518,
